e1,ev,p,q,e,u,tid
0,0,50.34108657,0,0.793,0,CID-D050
0.11354254,0.001173327,51.74658523,7.291481044,0.792978962,0,CID-D050
0.21053241,0.031158796,58.26970108,24.40121589,0.792441323,0,CID-D050
0.315842504,0.054098496,64.84859972,44.52514535,0.792030014,0,CID-D050
0.407183148,0.069592798,70.58893378,62.09906601,0.791752201,0,CID-D050
0.503251335,0.077910059,77.24505887,81.16647773,0.791603073,0,CID-D050
0.599940247,0.077995444,82.99606617,96.37037884,0.791601542,0,CID-D050
0.695713747,0.067688175,86.97776286,109.2822925,0.791786351,0,CID-D050
0.794515632,0.050594198,90.24132197,119.9958832,0.792092846,0,CID-D050
0.89043334,0.025557613,93.13886669,128.6607889,0.792541752,0,CID-D050
0.995248109,-0.007642888,95.71910451,137.4350734,0.793137037,0,CID-D050
1.103737068,-0.045215483,97.8802481,143.1487063,0.793810714,0,CID-D050
1.195109062,-0.083289936,99.82186243,149.264493,0.794493389,0,CID-D050
1.284819519,-0.129638086,101.0369985,154.3431456,0.795324411,0,CID-D050
1.386116845,-0.178683144,102.5841302,156.9714522,0.796203789,0,CID-D050
1.489665083,-0.228726111,103.9763888,161.3115566,0.797101059,0,CID-D050
1.596931402,-0.283666847,104.8992428,163.8985399,0.798086147,0,CID-D050
1.687619971,-0.339650797,105.4662712,166.3030224,0.799089939,0,CID-D050
1.793030385,-0.399144853,105.9714956,167.5001371,0.800156667,0,CID-D050
1.897694675,-0.458385076,106.7969826,170.8276603,0.801218844,0,CID-D050
1.984520954,-0.518925251,107.6434583,172.1719835,0.80230433,0,CID-D050
2.077635994,-0.582004344,108.0625648,174.0266315,0.803435338,0,CID-D050
2.341074249,-0.738904851,108.7705969,176.5792925,0.806248564,0,CID-D050
2.591721804,-0.895785609,109.8004529,179.1826479,0.809061436,0,CID-D050
2.830932969,-1.05531855,111.4305961,183.132103,0.811921862,0,CID-D050
3.087361419,-1.217540269,112.5874671,186.9583918,0.814830497,0,CID-D050
3.334591851,-1.37582321,113.246839,187.1502377,0.81766851,0,CID-D050
3.587640798,-1.541321531,111.9994395,184.4663526,0.820635895,0,CID-D050
3.833121914,-1.700856215,111.7977672,185.7500451,0.823496352,0,CID-D050
4.089167896,-1.861937715,111.5494752,184.5030475,0.826384543,0,CID-D050
4.346304851,-2.014201839,111.4571138,184.1297462,0.829114639,0,CID-D050
4.587447161,-2.162809482,111.3433005,183.1812866,0.831779174,0,CID-D050
4.84265924,-2.305791545,111.4079717,183.6841333,0.834342842,0,CID-D050
5.092836549,-2.443932765,111.3549443,182.8790799,0.836819714,0,CID-D050
5.343132987,-2.577495687,111.976064,184.2976699,0.839214498,0,CID-D050
5.595605098,-2.710100779,111.3622535,183.866174,0.841592107,0,CID-D050
5.841161453,-2.831432059,111.6289019,184.1125401,0.843767577,0,CID-D050
6.077795668,-2.953282624,110.9243293,180.3743736,0.845952357,0,CID-D050
6.333553234,-3.071222875,109.7571243,180.0156301,0.848067026,0,CID-D050
6.578256875,-3.185681481,109.6975707,177.9538717,0.850119269,0,CID-D050
6.842911501,-3.293261024,109.202087,176.7679078,0.85204817,0,CID-D050
7.074868333,-3.396399931,109.0712811,176.303253,0.853897451,0,CID-D050
7.330500499,-3.497204964,109.4000705,175.7816394,0.855704885,0,CID-D050
7.581975688,-3.595370592,108.5139624,173.073992,0.857464995,0,CID-D050
7.836567042,-3.689848373,107.1454379,170.2279836,0.859158981,0,CID-D050
8.087039039,-3.779175714,105.7613414,166.7475386,0.860760621,0,CID-D050
8.328808343,-3.865087629,105.8216569,164.9903734,0.862301021,0,CID-D050
8.583412238,-3.947844921,105.0289535,162.9185194,0.863784859,0,CID-D050
8.834561389,-4.029604885,104.0371142,159.948739,0.865250816,0,CID-D050
9.073778824,-4.105642268,103.9263086,159.5275394,0.866614166,0,CID-D050
9.324978135,-4.180385506,102.8399039,157.4960257,0.867954312,0,CID-D050
9.567825871,-4.255587039,102.849055,156.3630321,0.869302676,0,CID-D050
9.827520966,-4.326471077,102.194441,154.385193,0.870573626,0,CID-D050
10.07999935,-4.398527862,101.8318715,153.5521718,0.871865605,0,CID-D050
10.31895971,-4.465702561,101.800255,152.2926466,0.873070047,0,CID-D050
10.57693684,-4.535167571,100.6062163,150.8947558,0.874315555,0,CID-D050
10.82038649,-4.600444038,101.0049591,151.0314435,0.875485962,0,CID-D050
11.0754042,-4.668785094,100.0069218,148.2974787,0.876711317,0,CID-D050
11.3307166,-4.73321932,99.70821874,148.0177334,0.877866622,0,CID-D050
11.578643,-4.793322112,100.2990718,148.4227154,0.878944265,0,CID-D050
11.82698948,-4.853907595,99.91382059,147.4399244,0.880030563,0,CID-D050
12.07635797,-4.914248537,99.80078758,147.2792684,0.881112476,0,CID-D050
12.327783,-4.973244801,99.60659868,147.1685705,0.882170279,0,CID-D050
12.58010463,-5.029117808,99.7811261,147.5086571,0.883172082,0,CID-D050
12.83670237,-5.085934123,99.47763965,146.7139314,0.884190799,0,CID-D050
13.07988241,-5.140059919,100.106572,147.2342989,0.885161274,0,CID-D050
13.32152005,-5.195744148,99.48164905,146.6632168,0.886159693,0,CID-D050
13.58111482,-5.249563834,99.59842737,146.7400926,0.88712468,0,CID-D050
13.83858408,-5.302856684,99.51874458,146.6439559,0.88808022,0,CID-D050
14.07642213,-5.357200881,99.72812241,147.3293855,0.889054612,0,CID-D050
14.33128309,-5.410389758,99.61673288,147.4300382,0.890008288,0,CID-D050
14.58315329,-5.46170015,99.64251483,146.8198332,0.890928284,0,CID-D050
14.82710454,-5.513483358,98.70790145,143.8543348,0.891856757,0,CID-D050
15.07597769,-5.562646331,98.50360645,143.8684071,0.892738249,0,CID-D050
15.3182486,-5.613616923,98.30115585,142.0324078,0.893652151,0,CID-D050
15.56299613,-5.662470299,97.82006033,141.1536808,0.894528092,0,CID-D050
15.82696106,-5.710453555,97.89409659,140.4021021,0.895388432,0,CID-D050
16.07884379,-5.759994083,96.95719584,138.5047808,0.896276694,0,CID-D050
16.32620589,-5.806141838,96.22894147,137.0401342,0.897104123,0,CID-D050
16.5722325,-5.852234411,95.56907549,134.9236346,0.897930563,0,CID-D050
16.8220775,-5.895962906,95.57283011,134.7779798,0.898714615,0,CID-D050
17.08293253,-5.938406549,95.78528692,134.7314917,0.899475629,0,CID-D050
17.32287101,-5.983137018,95.35252734,134.3676422,0.900277647,0,CID-D050
17.56965628,-6.024752362,94.8113813,132.4043884,0.90102381,0,CID-D050
17.82589663,-6.06764036,94.65038898,132.5178097,0.901792792,0,CID-D050
18.07110814,-6.105133377,94.87663642,131.9716598,0.902465041,0,CID-D050
18.32295952,-6.144228974,94.9911197,132.999435,0.903166025,0,CID-D050
18.56003263,-6.181601173,95.04785463,133.2543904,0.903836109,0,CID-D050
18.82808557,-6.219063987,95.35943076,134.3808263,0.904507817,0,CID-D050
19.07299612,-6.254691299,95.48131745,132.9071139,0.905146615,0,CID-D050
19.31119783,-6.294610547,95.22576289,133.2215045,0.905862367,0,CID-D050
19.56758866,-6.332452078,94.97925923,132.5161248,0.906540866,0,CID-D050
19.81048655,-6.370005504,94.2801933,131.1322331,0.907214199,0,CID-D050
20.06607483,-6.407676844,93.78659979,130.3448323,0.907889646,0,CID-D050
20.30950567,-6.441857247,94.18471909,129.9783141,0.9085025,0,CID-D050
20.55927543,-6.478690414,93.88640199,129.1409547,0.909162919,0,CID-D050
20.82004896,-6.516046349,92.89768752,127.9924559,0.909832711,0,CID-D050
21.06001252,-6.551634744,93.31758763,127.9830947,0.910470811,0,CID-D050
21.31874204,-6.586964078,92.83706755,127.6393916,0.911104266,0,CID-D050
21.57510152,-6.621019016,93.56423559,127.4139913,0.911714871,0,CID-D050
21.81865776,-6.660109965,92.97179732,126.7633531,0.912415772,0,CID-D050
22.07349364,-6.695719851,92.92825564,127.2576109,0.913054257,0,CID-D050
22.32569615,-6.730468911,93.24299713,127.4712716,0.913677308,0,CID-D050
22.5858176,-6.767939856,92.82552428,127.3710274,0.914349162,0,CID-D050
22.83014504,-6.8032082,92.9245308,127.1983166,0.914981523,0,CID-D050
23.07795858,-6.839424498,92.92576467,126.2721897,0.915630881,0,CID-D050
23.31305666,-6.875165658,92.91152768,126.2298775,0.91627172,0,CID-D050
23.57225643,-6.911559698,92.40917082,125.2762439,0.916924265,0,CID-D050
23.82739954,-6.948886011,92.35551478,124.4065414,0.917593526,0,CID-D050
24.07350765,-6.98522487,92.37414083,123.9183163,0.918245082,0,CID-D050
24.31507631,-7.024069537,91.30822089,122.8196249,0.918941567,0,CID-D050
24.57242018,-7.05969104,91.66954613,122.4497021,0.91958026,0,CID-D050
24.8154372,-7.093866796,92.01862873,123.493088,0.920193032,0,CID-D050
25.06422885,-7.131990041,91.53836173,122.4008389,0.920876581,0,CID-D050
25.12770583,-7.142695776,90.92666303,121.5952336,0.921068535,0,CID-D050
0,0,113.8867561,0,0.738,0,CID-D113
0.021710234,0.000963162,114.6543374,2.523865017,0.73798326,0,CID-D113
0.048086044,0.011748927,120.2588639,19.98699333,0.737795804,0,CID-D113
0.066804562,0.024894704,124.2645311,31.90837427,0.73756733,0,CID-D113
0.093261568,0.037805419,127.3829852,44.94771703,0.737342942,0,CID-D113
0.118082186,0.052807001,131.1206275,53.33806721,0.737082214,0,CID-D113
0.131560518,0.06712103,135.7304009,64.42676057,0.736833437,0,CID-D113
0.156306187,0.079210795,139.0227018,75.32544367,0.736623316,0,CID-D113
0.187747303,0.090618884,141.2681926,83.24050719,0.736425044,0,CID-D113
0.208420741,0.103011291,145.0457782,94.53259644,0.736209664,0,CID-D113
0.22925657,0.113295789,148.120538,101.6836174,0.736030919,0,CID-D113
0.257593546,0.122342693,149.8259895,110.8589322,0.735873684,0,CID-D113
0.286317759,0.132153544,153.0672023,119.1060806,0.735703171,0,CID-D113
0.303962008,0.142173011,156.5676615,127.3351535,0.735529033,0,CID-D113
0.331443317,0.150004062,159.0768815,136.1134774,0.735392929,0,CID-D113
0.349374871,0.157662344,160.4827208,139.0410153,0.735259828,0,CID-D113
0.377761813,0.164531409,162.9510059,148.7133818,0.735140444,0,CID-D113
0.395768316,0.171444547,166.2360112,157.6162254,0.735020294,0,CID-D113
0.418003193,0.178593922,168.4374032,163.0733043,0.734896038,0,CID-D113
0.439925782,0.184736649,170.2286028,169.8570892,0.734789277,0,CID-D113
0.46806914,0.189954999,172.3882737,176.6587186,0.734698582,0,CID-D113
0.497130624,0.194876585,174.9982849,183.791736,0.734613045,0,CID-D113
0.523462714,0.200678474,178.0205801,192.2156831,0.734512208,0,CID-D113
0.544442194,0.204199685,178.808731,194.436447,0.734451009,0,CID-D113
0.5705307,0.208374365,180.9935109,202.2021885,0.734378454,0,CID-D113
0.596281935,0.212316923,182.9863463,208.0287119,0.734309932,0,CID-D113
0.618598007,0.215484367,186.1213098,216.9956409,0.734254882,0,CID-D113
0.65114462,0.217457703,187.5255068,223.1435784,0.734220585,0,CID-D113
0.672255261,0.219934069,189.7313286,228.1829175,0.734177546,0,CID-D113
0.698612335,0.222523851,191.9000976,234.2917734,0.734132535,0,CID-D113
0.719979052,0.22413343,194.0405527,240.2639474,0.734104561,0,CID-D113
0.742438776,0.225103644,195.3231986,245.2800266,0.734087699,0,CID-D113
0.772968011,0.22674143,197.2819199,250.7231811,0.734059234,0,CID-D113
